Type,Slice,X,Y,Value,C-posZ-pos,Z-pos,T-pos,X (pixel),Y (pixel),Z (pixel)
1,1,3844,5208,97.666664,1,1,1,0.087,0.118,0
1,1,3556,5812,115.666664,1,1,1,0.081,0.132,0
1,1,3796,5768,103,1,1,1,0.086,0.131,0
1,1,4598,5168,80.666664,1,1,1,0.104,0.117,0
1,1,4942,5448,0,1,1,1,0.112,0.124,0
1,1,5234,5638,165,1,1,1,0.119,0.128,0
1,1,5458,5014,108,1,1,1,0.124,0.114,0
1,1,5706,5160,69.666664,1,1,1,0.13,0.117,0
1,1,5916,5240,107.666664,1,1,1,0.134,0.119,0
1,1,5922,5586,60.333332,1,1,1,0.134,0.127,0
1,1,7310,5490,68.333336,1,1,1,0.166,0.125,0
1,1,7978,5256,80,1,1,1,0.181,0.119,0
1,1,8258,5970,47.666668,1,1,1,0.187,0.136,0
1,1,9242,5842,41.333332,1,1,1,0.21,0.133,0
1,1,11188,5584,75.666664,1,1,1,0.254,0.127,0
1,1,11392,4996,29.666666,1,1,1,0.259,0.113,0
1,1,12522,5270,88,1,1,1,0.284,0.12,0
1,1,12260,5460,0,1,1,1,0.278,0.124,0
1,1,12538,5474,0,1,1,1,0.285,0.124,0
1,1,12482,5056,69.666664,1,1,1,0.283,0.115,0
1,1,12218,4914,95.333336,1,1,1,0.277,0.112,0
1,1,12398,5722,191.666672,1,1,1,0.281,0.13,0
1,1,11834,5854,80.333336,1,1,1,0.269,0.133,0
1,1,13064,4932,67,1,1,1,0.297,0.112,0
1,1,12934,5432,78.333336,1,1,1,0.294,0.123,0
1,1,13456,4902,100,1,1,1,0.305,0.111,0
1,1,13718,4678,49.666668,1,1,1,0.311,0.106,0
1,1,12692,6010,0,1,1,1,0.288,0.136,0
1,1,12900,6182,62,1,1,1,0.293,0.14,0
1,1,13672,5908,62.666668,1,1,1,0.31,0.134,0
1,1,13528,6466,132.666672,1,1,1,0.307,0.147,0
1,1,13712,6808,103.333336,1,1,1,0.311,0.155,0
1,1,12510,6600,74.666664,1,1,1,0.284,0.15,0
1,1,10760,6700,67,1,1,1,0.244,0.152,0
1,1,11114,6718,43,1,1,1,0.252,0.153,0
1,1,11414,7014,84.333336,1,1,1,0.259,0.159,0
1,1,12036,7026,48,1,1,1,0.273,0.159,0
1,1,12014,6668,53.333332,1,1,1,0.273,0.151,0
1,1,11862,6322,31,1,1,1,0.269,0.144,0
1,1,9302,6102,44.333332,1,1,1,0.211,0.139,0
1,1,10380,6432,61.333332,1,1,1,0.236,0.146,0
1,1,9334,7090,59.666668,1,1,1,0.212,0.161,0
1,1,8186,6286,48,1,1,1,0.186,0.143,0
1,1,8676,6574,106.333336,1,1,1,0.197,0.149,0
1,1,6438,6048,74.666664,1,1,1,0.146,0.137,0
1,1,6488,6388,36.333332,1,1,1,0.147,0.145,0
1,1,7222,6060,70.333336,1,1,1,0.164,0.138,0
1,1,3092,6644,32.333332,1,1,1,0.07,0.151,0
1,1,2868,6778,47.666668,1,1,1,0.065,0.154,0
1,1,3300,7076,86,1,1,1,0.075,0.161,0
1,1,3626,6464,41,1,1,1,0.082,0.147,0
1,1,4250,6374,59,1,1,1,0.096,0.145,0
1,1,4298,6140,49,1,1,1,0.098,0.139,0
1,1,4322,6938,77,1,1,1,0.098,0.157,0
1,1,2520,6830,33,1,1,1,0.057,0.155,0
1,1,1910,6924,42,1,1,1,0.043,0.157,0
1,1,2660,7130,66.333336,1,1,1,0.06,0.162,0
