Type,X,Y
6,3169.645718,2277.518854
7,1724.509497,590.5641453
7,1283.303675,654.1047711
7,3121.896501,897.25
7,2057.301254,1064.331581
7,2805.533672,1081.017154
7,2908.849288,1114.536392
7,307.6856287,1183.89654
7,2754.753627,1383.696615
7,1418.240869,1469.459316
7,1301.587018,1541.352982
7,2948.098777,1694.136093
7,358.5715388,1761.780563
7,3299.61697,1777.675455
7,993.5513402,1789.625155
7,1360.614791,1795.498171
7,1676.297446,1870.775299
7,327.6248609,2057.696104
8,376.423676,379.517134
8,2878.485445,472.6102911
8,1654.951233,463.2216202
8,3304.281701,621.367538
8,3175.208248,1128.941036
8,1264.210368,1252.352715
8,3268.717426,1309.194245
8,2264.710085,1410.617778
8,2776.865362,1753.030842
8,172.831758,1932.262382
8,3358.632403,2257.015657
8,2271.005965,2344.381483
9,3344.212069,143.2382759
9,1829.28007,125.2195804
9,627.0992661,138.6048667
9,2211.862245,373.2821821
9,1801.006688,498.3280255
9,323.8329308,524.958132
9,788.4214943,858.4396318
9,513.1947368,1132.541118
9,1643.32492,1164.270522
9,1206.072606,1561.054367
9,1957.018743,1780.109723
9,1910.481481,2009.175614
9,3402.986602,2034.470158
9,2725.327767,2139.957974
9,824.3711691,2191.461218
10,1605.059091,56.2025974
10,1109.070403,271.5474876
10,362.6978002,263.5741075
10,2796.801454,256.5692425
10,2988.833591,320.2509653
10,1773.501154,697.8597795
10,2277.269492,757.650275
10,1510.222948,748.7168418
10,109.3305364,835.8157027
10,2339.211127,1043.265647
10,1667.195719,1057.85508
10,834.0616438,1200.019406
10,939.7743848,1244.634747
10,1334.267561,1238.372534
10,2095.849004,1336.830677
10,3055.569855,1423.288683
10,755.8984509,1424.582042
10,186.9801534,1557.663284
10,2284.525818,1786.115491
10,2171.415033,1876.846078
10,827.9665298,2000.935901
10,1722.328257,2179.694755
10,397.3977657,2180.969533
10,1471.627623,2187.063812
10,2166.22808,2334.956296
10,2522.890671,2302.062682
10,69.77365164,2311.911877
10,2280.725716,2358.150722
11,1079.803134,190.466515
11,1384.113017,1053.432139
11,118.8154379,1098.045275
11,3226.093303,1170.10739
11,2376.428956,1183.805488
11,1254.097791,1355.295322
11,2986.607888,1417.651498
11,2373.418182,2154.793535
12,2136.103782,355.1252101
12,853.1284289,429.5598504
12,2534.776823,494.4753253
12,311.856054,512.1783537
12,2169.281565,537.1688613
12,1899.602049,582.0545082
12,370.325447,611.1122421
12,816.6515262,656.228561
12,2583.955146,787.6936324
12,2496.777529,1222.422855
12,3164.392506,1696.355038
12,2141.84177,1662.243714
12,354.4597447,1755.360825
12,842.5236084,1799.676008
12,2107.784967,2220.693142
12,1624.154485,2369.266934
12,1860.288143,2425.53068
13,187.4426351,144.2572169
13,2649.102443,309.4791174
13,3073.69371,788.0401935
13,242.9176661,1141.306321
13,1247.702293,1150.008092
13,1253.709867,1612.130384
13,2610.75266,1793.273936
13,2640.716646,1924.660058
13,2387.703183,1970.332346
13,3025.673251,1977.090947
13,1391.902669,2103.174254
13,1642.421006,2113.702415
13,2786.588502,2251.771777
13,2494.921848,2337.04819
13,531.4845546,2364.559267
13,2202.331085,2403.037572
14,2690.955931,74.89044481
14,2876.694109,97.41087613
14,1603.981066,240.1522411
